DATE,Austria (AT),Belgium (BE),Bulgaria (BG),Croatia (HR),Cyprus (CY),Czech Republic (CZ),Denmark (DK),Estonia (EE),Finland (FI),France (FR),Germany (DE),Greece (GR),Hungary (HU),Ireland (IE),Italy (IT),Latvia (LV),Lithuania (LT),Luxembourg (LU),Malta (MT),Netherlands (NL),Poland (PL),Portugal (PT),Romania (RO),Slovakia (SK),Slovenia (SI),Spain (ES),Sweden (SE),United Kingdom (UK)
2019-01-01,17190.5,44294.0,70167.0,,11950.5,80911.0,10678.0,13223.0,45791.0,72174.0,264055.5,75106.0,25044.75,30226.0,232580.0,17.0,1056.0,,,163894.0,233163.0,58190.0,66818.0,10090.0,7156.0,199019.0,,291617.5
2019-01-02,42894.25,102000.0,70315.0,,13024.0,132756.0,32474.0,16893.0,57587.0,150481.0,472633.25,108960.0,28031.25,36689.5,321349.0,6148.0,991.0,,,204888.25,338526.0,69857.0,71359.0,13588.0,7621.0,228162.0,,551812.5
2019-01-03,53530.0,99659.0,81024.0,,13034.0,164402.0,41862.0,18836.0,64899.0,172237.0,836357.75,126378.0,40420.5,34894.5,354247.0,9619.0,942.0,,,225744.0,393650.0,92011.0,78778.0,17077.0,8758.0,293959.0,,642271.5
2019-01-04,57094.5,109564.0,82168.0,,13522.5,149962.0,29271.0,21304.0,62927.0,192572.0,736920.0,135258.0,42958.5,35801.0,412221.0,9018.0,943.0,,,217064.25,402077.0,96150.0,79115.0,17388.0,14264.0,345330.0,,615057.0
2019-01-05,29625.75,72628.0,78503.0,,12570.0,121143.0,29962.0,17992.0,57187.0,201258.0,587383.0,136021.0,40101.75,34039.5,351888.0,9990.0,954.0,,,198217.25,351683.0,82656.0,82300.0,11805.0,14106.0,269540.0,,527918.5
2019-01-06,30753.0,61380.0,83469.0,,11118.0,146657.0,33054.0,20465.0,55294.0,191530.0,740092.5,116900.0,39300.75,30765.0,305672.0,11256.0,936.0,,,205970.0,370947.0,41526.0,75357.0,11753.0,13782.0,204496.0,,526594.0
2019-01-07,60054.0,80944.0,81830.0,,15123.063829787236,151460.0,31721.0,25274.0,55023.0,195821.0,817934.5,131983.0,47872.75,28720.0,498884.0,9580.0,936.0,,,223436.0,423607.0,81909.0,70668.0,17535.0,17914.0,286828.0,,357141.5
2019-01-08,55318.25,76187.0,82554.0,,14958.5,155029.0,24309.0,24302.0,55646.0,178554.0,456714.0,139004.0,49259.25,39602.5,552725.0,9569.0,948.0,,,193332.75,415100.0,81393.0,93505.0,16509.0,20161.0,324893.0,,370002.0
2019-01-09,56932.5,84996.0,81227.0,,15587.0,156560.0,31213.0,26730.0,59612.0,181793.0,621880.5,128188.0,44622.25,46089.5,523165.0,15415.0,939.0,,,223270.25,436866.0,79467.0,97737.0,15651.0,19673.0,291209.0,,555606.5
2019-01-10,59913.25,101746.0,80890.0,,15530.0,164682.0,41288.0,34019.0,65014.0,221151.0,960404.0,118189.0,46020.5,48207.0,529023.0,16743.0,936.0,,,254690.25,461372.0,87583.0,98577.0,15599.0,20121.0,290166.0,,629931.0
2019-01-11,65228.5,97623.0,86331.0,,14433.5,148788.0,32796.0,29121.0,55047.0,228045.0,858405.75,127670.0,46898.75,43759.5,570693.0,9582.0,944.0,,,236063.75,428694.0,90295.0,99737.0,16021.0,19615.0,312368.0,,557856.0
2019-01-12,43740.75,62246.0,86686.0,,12770.0,123239.0,32533.0,24572.0,56581.0,184545.0,520364.0,117255.0,42394.75,23797.5,393922.0,7519.0,960.0,,,195796.5,362723.0,72724.0,101401.0,10258.0,15220.0,249121.0,,245294.0
2019-01-13,28583.25,44509.0,85160.0,,13360.0,100843.0,17951.0,20966.0,57212.0,81503.0,284003.25,112137.0,40056.0,24845.5,335934.0,7731.0,960.0,,,150784.25,317551.0,52115.0,95772.0,10488.0,14655.0,236065.0,,203349.5
2019-01-14,40003.25,85126.0,82717.0,,13997.617021276594,133145.0,29833.0,23472.0,63304.0,180940.0,493911.0,123483.0,44415.5,40710.5,469636.0,8477.0,960.0,,,210927.5,367466.0,84542.0,86207.0,16094.0,14484.0,344458.0,,473249.0
2019-01-15,48236.0,88664.0,81154.0,,12380.5,134011.0,36215.0,28313.0,70262.0,210735.0,608565.5,117050.0,45622.5,38702.0,510443.0,8988.0,960.0,,,217982.25,384430.0,95957.0,87725.0,16520.0,15169.0,416194.0,,389651.5
2019-01-16,68786.25,85303.0,82493.0,,13352.0,136562.0,37025.0,30685.0,74030.0,214871.0,643810.75,124703.0,42025.0,43102.0,555873.0,10927.0,960.0,,,203167.5,393389.0,97184.0,83017.0,16446.0,18739.0,418921.0,,436636.5
2019-01-17,65491.5,90893.0,84274.0,,13858.212765957447,132754.0,41390.0,32545.0,75239.0,208812.0,677762.0,130567.0,50392.0,45597.0,559224.0,8317.0,960.0,,,219844.25,379788.0,92503.0,83473.0,16500.0,20209.0,389019.0,,486557.5
2019-01-18,49845.75,98865.0,83980.0,,15023.5,154968.0,47884.0,32669.0,78478.0,238304.0,960186.5,125291.0,48203.5,47508.0,544854.0,14818.0,960.0,,,245672.25,416977.0,92436.0,80051.0,16683.0,14516.0,412229.0,,544850.0
2019-01-19,55000.75,85026.0,84849.0,,14141.5,146143.0,45639.0,25277.0,75748.0,221625.0,908531.25,125240.0,46385.5,50965.5,460342.0,9627.0,960.0,,,230958.5,398280.0,76401.0,79329.0,11257.0,10025.0,316809.0,,512592.0
2019-01-20,57055.25,73452.0,89473.0,,12759.5,122816.0,44255.0,26317.0,76602.0,216940.0,902593.75,111402.0,46524.25,40120.0,401829.0,9743.0,960.0,,,226845.0,379569.0,48148.0,75588.0,11331.0,8311.0,257253.0,,533374.5
2019-01-21,67041.5,105547.0,88398.0,,13708.0,142184.0,47696.0,42535.0,81834.0,234253.0,1050329.0,134243.0,50400.5,36294.5,585885.0,17477.0,960.0,,,245933.5,462242.0,84347.0,80736.0,18728.0,9255.0,355177.0,,593263.0
2019-01-22,71220.75,110392.0,92584.0,,14276.0,138282.0,47210.0,41319.0,82606.0,235315.0,1031941.5,120951.0,53591.0,49577.0,582783.0,17586.0,959.0,,,239709.25,461422.0,84784.0,84733.0,21160.0,10362.0,344795.0,,604936.5
2019-01-23,71243.25,113889.0,89211.0,,13346.5,144103.0,48780.0,42207.0,78691.0,239707.0,1064467.75,107327.0,52367.0,53054.0,590577.0,17921.0,960.0,,,246835.0,447874.0,51711.0,83183.0,21028.0,10501.0,236912.0,,686008.0
2019-01-24,69821.5,117596.0,88009.0,,12432.0,157255.0,54267.0,41272.0,79837.0,250680.0,1072283.5,112713.0,48672.25,45618.5,605932.0,17922.0,960.0,,,268422.5,463976.0,62392.0,84376.0,20277.0,15637.0,289009.0,,713416.5
2019-01-25,69003.25,108971.0,87681.0,,12633.0,157246.0,55249.0,34342.0,79120.0,234653.0,1008119.0,101569.0,47758.0,36319.0,527368.0,17503.0,958.0,,,262950.0,459162.0,80442.0,85911.0,20022.0,20943.0,307221.0,,460653.0
2019-01-26,62367.75,51083.0,81850.0,,11170.5,135952.0,46890.0,26772.0,76094.0,185962.0,702690.75,111139.0,41701.0,26071.0,382068.0,12432.0,958.0,,,199107.5,411199.0,65554.0,76694.0,13636.0,14857.0,249063.0,,260326.5
2019-01-27,50486.25,38135.0,83942.0,,11194.0,124781.0,38507.0,25753.0,77304.0,92438.0,535479.0,93231.0,41310.25,28586.0,348165.0,12450.0,960.0,,,148667.5,352945.0,11488.0,73247.0,13238.0,15228.0,127193.0,,243624.5
2019-01-28,68740.75,75466.0,84232.0,,13175.0,154139.0,49739.0,33568.0,79502.0,191868.0,830278.5,91488.0,44050.25,41231.0,466080.0,17870.0,956.0,,,214486.5,423725.0,35328.0,76940.0,18737.0,14573.0,188705.0,,474058.5
2019-01-29,64002.75,102937.0,85524.0,,13667.744680851065,155323.0,54142.0,35386.0,77836.0,220803.0,956984.0,85041.0,42814.84090909091,42545.5,547786.0,17668.0,960.0,,,242501.25,434017.0,47673.0,88716.0,17637.0,14885.333333333334,240062.0,,581897.0
2019-01-30,80396.5,103114.0,81133.0,,12807.5,155599.0,49730.0,36384.0,76566.0,222746.0,932056.25,91512.0,45890.75,52754.08695652173,558731.0,17197.0,960.0,,,252451.0,434387.0,54645.0,88717.0,17825.0,14624.0,246767.0,,628458.5
2019-01-31,65812.5,110902.0,76136.0,,13135.0,154870.0,52088.0,34637.0,77435.0,228772.0,1004468.75,93021.0,44335.75,39190.5,494751.0,17934.0,995.0,,,259512.25,443690.0,34413.0,88795.0,17958.0,15285.913043478262,177485.0,,615471.0
2019-02-01,75564.75,98306.0,72526.0,,12316.0,155679.0,50463.0,35303.0,76882.0,205977.0,920389.25,89493.0,43194.25,44027.5,466043.0,15911.0,1068.0,,,238028.75,417974.0,27698.0,83757.0,17751.0,14672.0,157923.0,,560936.0
2019-02-02,54417.5,57507.0,71544.0,,12016.851063829787,143569.0,50555.0,29403.0,73360.0,180161.0,847756.5,70169.0,28120.0,44908.0,318131.0,10805.0,1058.0,,,244813.75,366363.0,10877.0,76632.0,11600.0,14742.0,138978.0,,445369.5
2019-02-03,51299.75,55233.0,67225.0,,11287.2,129222.0,49287.0,22302.0,71695.0,147843.0,749326.0,59710.0,26410.0,33505.5,265333.0,10785.0,1056.0,,,202086.25,352854.0,20989.0,70788.0,11558.0,12925.0,161531.0,,418438.0
2019-02-04,62379.25,95629.0,67556.0,,11029.0,140823.0,39479.0,32039.0,74917.0,223049.0,791620.75,78884.0,39604.0,43810.5,462175.0,12505.0,1058.0,,,232537.75,411821.0,65448.0,76954.0,17709.0,15279.0,306821.0,,461954.5
2019-02-05,74706.75,102434.0,69016.0,,9705.0,136179.0,34937.0,29715.0,68627.0,229797.0,919304.0,68499.0,43155.5,29115.0,441156.0,12465.0,1057.0,,,262032.0,407944.0,74747.0,76882.0,12624.0,18614.0,335868.0,,537797.5
2019-02-06,65259.25,103219.0,73284.0,,12841.0,144417.0,43222.0,28682.0,70120.0,216028.0,916145.25,83609.0,42766.25,32371.0,413994.0,12459.0,1057.0,,,270092.5,416625.0,69631.0,74760.0,11974.0,8671.0,338010.0,,426694.0
2019-02-07,47604.75,62495.0,76957.0,,13153.5,150911.0,35562.0,18974.0,66451.0,173839.0,682755.25,77771.0,34321.75,34198.5,478702.0,11599.0,1056.0,,,236625.25,400654.0,60048.0,76666.0,11730.0,17365.0,306212.0,,392508.5
2019-02-08,56977.0,47290.0,83016.0,,13478.0,146764.0,28444.0,14715.0,58279.0,133085.0,518438.5,92519.0,34973.0,25987.5,486128.0,10610.0,1062.0,,,213511.25,385425.0,59927.0,85594.0,10066.0,16303.0,272635.0,,264323.5
2019-02-09,32595.25,35317.0,80495.0,,12151.0,114238.0,13578.0,15017.0,52825.0,79025.0,264776.75,96798.0,27892.5,32293.5,345458.0,7039.0,1056.0,,,175280.75,320149.0,37555.0,83091.0,9664.0,12170.0,183195.0,,193982.5
2019-02-10,30243.0,33868.0,75310.0,,11219.5,93973.0,28782.0,13523.0,50798.0,79356.0,273881.5,81261.0,27229.25,37284.0,254684.0,7009.0,1071.0,,,175342.5,290138.0,9444.0,69411.47826086957,9788.0,12277.0,129287.0,,344105.0
2019-02-11,41548.25,95423.0,73300.0,,12441.599999999999,138293.0,25118.0,15403.0,57284.0,178702.0,500138.75,68190.0,29167.25,42825.5,377178.0,7010.0,1080.0,,,230120.0,352761.0,54578.0,80823.0,14332.0,13113.0,260830.0,,517104.5
2019-02-12,55412.75,98897.0,72309.0,,13659.0,148916.0,34788.0,14501.0,61438.0,225569.0,833585.5,83659.0,30525.25,32061.5,385781.0,7111.0,1054.0,,,237160.5,375089.0,71758.0,83442.0,17109.0,12521.0,303315.0,,397389.5
2019-02-13,62425.0,79488.0,77874.0,,11280.5,149888.0,25801.0,14760.0,60456.0,207118.0,830896.75,78127.0,32169.0,27516.5,396024.0,7891.0,3790.0,,,226981.5,362572.0,81196.0,80212.0,17450.0,13975.0,313016.0,,332545.0
2019-02-14,62160.0,84054.0,76418.0,,12714.5,159379.0,33307.0,14590.0,55893.0,215529.0,895065.0,80813.0,31083.0,27946.5,408100.0,7952.0,1082.0,,,257685.5,392654.0,55609.0,90084.0,17140.0,13815.0,259221.0,,386919.5
2019-02-15,59685.0,71002.0,73968.0,,14142.5,150041.0,29383.0,14695.0,46419.0,204534.0,832482.5,79360.0,29170.5,22992.5,418996.0,5791.0,1096.0,,,254045.25,403483.0,62394.0,91608.0,17044.0,13355.0,273625.0,,347480.5
2019-02-16,39774.25,48360.0,72872.0,,13872.0,122973.0,22539.0,12669.0,49019.0,123243.0,608760.75,79008.0,24853.0,21602.0,318264.0,1574.0,1079.0,,,173981.5,329730.0,33696.0,84558.0,11702.0,13328.0,184763.0,,250606.0
2019-02-17,37897.0,40398.0,69593.0,,11925.272727272728,120111.0,20648.0,12809.0,51962.0,76561.0,635023.0,75181.0,23245.5,18503.5,269338.0,1573.0,1080.0,,,143439.5,312642.0,29168.0,69455.0,11639.0,11604.0,159972.0,,172384.5
2019-02-18,51369.0,66137.0,74925.0,,12450.976744186048,129243.0,24649.0,14208.0,55776.0,169974.0,770222.25,88307.0,36381.0,29137.0,447631.0,2959.0,1091.0,,,220443.25,381366.0,66326.0,83737.0,17018.0,16522.0,276707.0,,279729.5
2019-02-19,56693.5,63536.0,76891.0,,12137.0,125451.0,20667.0,13915.0,51331.0,196134.0,709244.75,91887.0,36442.0,34086.0,494924.0,2827.0,1079.0,,,203444.5,351264.0,85544.0,84136.0,16388.0,17697.0,336434.0,,343369.5
2019-02-20,41289.0,66861.0,73376.0,,12593.0,142147.0,26110.0,14016.0,56045.0,201112.0,790240.75,88889.0,30866.25,27523.5,505034.0,5532.0,1081.0,,,214800.25,364117.0,82998.0,85106.0,14848.0,18602.0,324423.0,,284783.0
2019-02-21,45354.0,80452.0,75007.0,,12917.106382978724,137450.0,31173.0,14875.0,64062.0,188505.0,807770.0,85338.0,30819.25,28364.0,490185.0,9070.0,1052.0,,,230773.75,385199.0,48675.0,88791.0,14511.0,17734.0,289764.0,,326274.0
2019-02-22,47480.75,66579.0,78502.0,,12908.425531914894,137906.0,34421.0,14803.0,61623.0,193597.0,844228.5,93358.0,31827.5,26541.5,416965.0,7757.0,1091.0,,,245793.5,389145.0,52012.0,87576.0,16522.0,17449.0,262699.0,,321852.0
2019-02-23,42689.75,54997.0,79883.0,,12232.340425531915,118354.0,31661.0,15352.0,45632.0,97550.0,659033.5,90305.0,29310.75,30806.5,246978.0,2396.0,1118.0,,,175695.0,357782.0,45959.0,78597.0,11422.0,11935.0,214839.0,,237441.0
2019-02-24,42770.5,57162.0,86356.0,,11299.0,127951.0,27578.0,13636.0,42198.0,102327.0,659605.5,82936.0,27591.75,26612.0,229646.0,2397.0,1128.0,,,162340.5,326814.0,37938.0,85362.0,11697.0,10974.0,200507.0,,340856.0
2019-02-25,49390.5,76652.0,86607.0,,10374.0,151795.0,31898.0,15352.0,41679.0,181773.0,792531.5,92710.0,32030.0,29672.5,391402.0,2393.0,1117.0,,,238549.0,372735.0,64301.0,81916.0,16900.0,12293.0,267076.0,,437597.5
2019-02-26,41475.5,75847.0,83157.0,,10369.531914893618,142225.0,28844.0,15254.0,50053.0,204656.0,808000.0,91147.0,29502.75,37190.0,400880.0,2387.0,1123.0,,,240761.75,373034.0,49779.0,87020.0,14881.0,13342.0,247547.0,,452876.5
2019-02-27,41053.25,64446.0,83984.0,,10264.851063829787,128803.0,24777.0,14276.0,45836.0,182889.0,757314.75,83250.0,28919.75,46353.5,373149.0,2305.0,1115.0,,,224484.75,367999.0,52764.0,85996.0,14627.0,13114.0,241115.0,,466229.5
2019-02-28,34823.25,56086.0,72581.0,,11388.0,121088.0,26150.0,13503.0,48694.0,100184.0,660918.5,91151.0,28324.0,48662.608695652176,421682.0,2337.0,1086.0,,,183488.5,341088.0,55662.0,84387.0,13262.0,12246.0,244065.0,,511165.5
2019-03-01,34355.75,63471.0,62228.0,,11952.0,133153.0,35299.0,15418.0,58611.0,148132.0,768445.0,82166.0,28882.75,51587.0,380619.0,10161.0,1110.0,,,219776.0,397063.0,66274.0,93760.0,14718.0,13081.0,236611.0,,489412.0
2019-03-02,23730.0,35617.0,59980.0,,11536.57142857143,123267.0,30391.0,13788.0,52249.0,80678.0,610935.0,74987.0,26702.0,29991.0,284117.0,8379.0,1121.0,,,175957.0,349647.0,50908.0,86024.0,9385.0,11937.0,158440.0,,254584.5
2019-03-03,13660.0,31038.0,56405.0,,,93359.0,16597.0,13150.0,55290.0,67645.0,259840.75,67837.0,23667.5,33980.5,295815.0,4097.0,1105.0,,,127351.25,283337.0,17586.0,79471.0,10146.0,11604.0,129062.0,,253372.5
2019-03-04,18049.0,37048.0,55634.0,,14079.692307692309,112804.0,18856.0,15809.0,59291.0,70204.0,334915.75,80795.0,30286.0,37133.5,364635.0,5948.0,1071.0,,,144524.75,319606.0,43238.0,82214.0,14562.0,11958.0,149443.0,,291449.5
2019-03-05,22642.0,51785.0,64246.0,,10575.272727272728,126182.0,31847.0,15971.0,57187.0,93562.0,465433.0,67917.0,30664.5,39794.5,403181.0,7849.0,1085.0,,,174797.0,329670.0,49837.0,79921.0,14974.0,11221.0,176972.0,,377376.0
2019-03-06,25798.75,33264.0,64336.0,,12399.483870967742,136884.0,32386.0,17006.0,56110.0,78349.0,512200.25,73229.0,33516.0,35053.5,445287.0,8509.0,1120.0,,,164179.75,366468.0,14239.0,83650.4347826087,15915.0,10931.0,125780.0,,305228.0
2019-03-07,14389.0,31706.0,62358.0,,10580.0,128340.0,35552.0,18374.0,52443.0,69470.14285714286,408631.75,72390.0,32866.25,30516.0,413319.0,6547.0,1087.0,,,159044.25,343917.0,50626.0,80381.0,14608.0,11299.0,190159.0,,249743.0
2019-03-08,15379.5,38656.0,54484.0,,10847.0,122123.0,24739.0,15738.0,46769.0,83467.11764705883,416131.0,72560.0,31194.75,37850.0,435799.0,2587.0,1078.0,,,181512.75,312579.0,73775.0,74506.0,13931.0,12275.0,227565.0,,345313.0
2019-03-09,8748.75,30499.0,52010.0,,10332.0,93213.0,16412.0,16529.0,49095.0,66733.85714285714,268150.5,65877.0,19498.5,30782.5,285530.0,2568.0,1091.0,,,127299.0,280895.0,60153.0,60741.043478260865,10296.0,11248.0,175822.0,,203325.0
2019-03-10,8856.0,35798.0,46323.0,,9337.0,95476.0,29843.0,16146.0,52641.0,66419.8,305969.0,52185.0,18886.35714285714,21742.0,243053.0,2689.0,1087.0,,,132980.0,267963.0,32434.0,49569.0,8870.0,9383.0,142258.0,,257109.0
2019-03-11,23454.5,45805.0,52780.0,,9477.5,114347.0,37751.0,16716.0,58822.0,91405.0,439473.75,42642.0,25810.25,30350.0,339477.0,7556.0,1105.0,,,164284.75,353590.0,58537.0,49172.08695652174,15365.0,12040.0,199732.0,,276316.5
2019-03-12,33602.5,41488.0,65880.0,,10191.2,116334.0,32038.0,17624.0,59015.0,86684.0,446199.0,63054.0,25903.0,30098.5,355170.0,10559.0,1128.0,,,188544.0,372887.0,56420.0,63648.0,15464.0,10610.0,184131.0,,302489.5
2019-03-13,25699.0,39894.0,65163.0,,11679.0,112985.0,27781.0,16049.0,55642.0,69434.0,358805.0,73083.0,27747.5,28601.0,438946.0,8868.0,3324.0,,,164760.75,343062.0,33190.0,69207.0,17459.0,12293.0,140844.0,,258083.5
2019-03-14,21504.75,44844.0,67608.0,,10765.5,114086.0,33830.0,16362.0,51101.0,79630.0,390837.0,89654.0,27459.0,28446.0,413516.0,7409.0,1088.0,,,173226.0,353204.0,45507.0,69905.0,17502.0,12860.0,195264.0,,261626.0
2019-03-15,19804.75,39091.0,65677.0,,11704.851063829787,107142.0,23731.0,16666.0,44727.0,70660.0,371904.5,89317.0,27828.75,30238.0,407655.0,7455.0,3185.0,,,168619.5,351347.0,53619.0,69378.54545454546,16437.0,12015.0,215606.0,,235000.5
2019-03-16,13363.0,38156.0,55118.0,,11243.0,86894.0,18093.0,16640.0,40934.0,66014.0,260357.5,72602.0,20459.75,25518.0,287640.0,4080.0,1086.0,,,130188.5,304741.0,34264.0,61337.0,11348.0,9986.0,161412.0,,242078.0
2019-03-17,3066.25,36193.0,48852.0,,8947.0,72576.0,11761.0,15387.0,41665.0,66422.0,236328.25,61549.0,18310.25,30294.0,306309.0,2527.0,1084.0,,,139500.0,265869.0,10578.0,56540.0,10595.0,9115.0,122216.0,,182262.0
2019-03-18,29969.5,70978.0,53020.0,,10671.0,110173.0,24108.0,16888.0,44229.0,139081.0,457601.5,67541.0,32341.25,39573.0,389604.0,3207.0,1091.0,,,201741.75,331432.0,37535.0,57840.0,16665.0,10947.0,169174.0,,457128.5
2019-03-19,41177.25,90400.0,54481.0,,10785.0,135180.0,32894.0,17875.0,48158.0,193199.3076923077,763648.75,79774.0,35881.5,43282.0,476888.0,7753.0,1113.0,,,238267.75,381734.0,44269.0,57251.69565217391,16187.0,11828.0,150984.0,,445101.0
2019-03-20,41807.25,75479.0,58071.0,,10865.5,129310.0,28547.0,16795.0,46033.0,196394.0,726976.75,67090.0,34944.0,38781.5,432924.0,4177.0,1122.0,,,229890.0,374302.0,37078.0,61496.0,15478.0,11077.0,181360.0,,387785.0
2019-03-21,41024.25,73151.0,54668.0,,10466.0,130070.0,21174.0,15261.0,44308.0,174534.0,732043.75,46860.0,35666.75,31908.5,382156.0,4257.0,1112.0,,,227111.0,365894.0,46921.0,70001.0,14912.0,11189.0,211727.0,,415089.5
2019-03-22,40005.5,67855.0,53070.0,,10141.5,130252.0,27454.0,15295.0,43757.0,182050.0,744931.0,49430.0,34580.25,29314.5,377497.0,4355.0,1122.0,,,228170.25,382332.0,50794.0,69655.52173913043,15437.0,10866.0,217449.0,,319330.0
2019-03-23,19188.25,51483.0,53301.0,,9415.0,99621.0,18164.0,13741.0,40919.0,87855.57142857143,573384.75,43549.0,24391.25,39356.5,266738.0,1991.0,1111.0,,,187226.0,316621.0,38917.0,54152.0,11189.0,9573.0,186128.0,,332020.5
2019-03-24,14106.75,39860.0,51637.0,,8239.5,105102.0,20315.0,12607.0,39602.0,69872.0,489406.0,44967.0,22767.0,26071.5,274635.0,1561.0,1117.0,,,145783.25,287615.0,10398.0,52879.0,11378.0,9667.0,151524.0,,214087.5
2019-03-25,21140.75,37785.0,53063.0,,8342.0,116936.0,23131.0,15159.0,43915.0,88348.0,501042.0,48021.0,30566.83823529412,37260.5,345417.0,5523.0,1104.0,,,158642.0,370586.0,13954.0,52320.0,16673.0,11725.0,146862.0,,309915.5
2019-03-26,37375.0,62604.0,58301.0,,10574.0,132975.0,21270.0,14582.0,44699.0,114818.85714285714,632275.0,66023.0,34005.681818181816,40655.0,379104.0,6318.0,1110.0,,,198027.0,343001.0,14169.0,58497.0,16807.0,10566.0,120033.0,,416134.5
2019-03-27,41701.25,74146.0,61055.0,,10495.0,149151.0,24257.0,16022.0,46678.0,161881.35294117648,709254.75,70787.0,34425.5,41992.5,403214.0,5948.0,1133.0,,,219893.0,366451.0,29947.0,55515.0,16787.0,10966.0,154153.0,,430073.5
2019-03-28,42177.75,77909.0,60450.0,,10839.5,148851.1739130435,30547.0,14878.0,40618.0,182229.0,727335.0,54503.0,35438.0,39149.5,343734.0,6666.0,1123.0,,,224256.0,389373.0,45713.0,64345.0,17125.0,12001.0,197554.0,,414368.5
2019-03-29,37204.5,66351.0,58825.0,,11152.0,136246.0,20731.0,13072.0,31438.0,157278.0,641707.25,58019.0,30676.5,37870.5,337219.0,12.0,1103.0,,,205407.75,361666.0,54078.0,62038.0,16765.0,11175.0,213889.0,,358565.5
2019-03-30,26991.0,44246.0,57816.0,,11383.0,106667.0,16884.0,12687.0,30792.0,82533.0,475379.75,52424.0,19420.25,40066.5,260022.0,19.0,1097.0,,,126676.5,315661.0,40694.0,53454.0,11277.0,9491.0,205882.0,,328078.5
2019-03-31,16622.608695652172,34380.52173913043,53992.69565217392,,10875.130434782608,99393.39130434784,11506.434782608696,12788.400000000001,30974.608695652176,67456.36363636363,399567.1304347826,51722.28571428571,17672.347826086956,36869.739130434784,265579.8260869565,19.82608695652174,1099.8260869565217,,,94219.82608695653,269384.3478260869,37052.86956521739,49828.57142857143,11192.347826086956,9255.652173913044,219356.86956521738,,265297.5652173913
2019-04-01,25006.25,53608.0,51149.0,,10265.5,107024.0,21850.0,16437.0,38159.0,72038.0,558570.75,58366.0,25865.25,38464.5,413778.0,1206.0,1128.0,,,148600.75,353577.0,80239.0,51201.0,16184.0,10854.0,288111.0,,351554.0
2019-04-02,24355.5,56739.0,51948.0,,11336.533333333333,101000.0,15513.0,15228.0,36404.0,62787.0,583097.25,51292.0,27688.0,31579.5,463975.0,1469.0,1120.0,,,165821.75,309641.0,93084.0,53052.0,15384.0,10281.0,271853.0,,461919.5
2019-04-03,25675.5,76342.0,53354.0,,10973.617021276596,130979.0,25538.0,15411.0,34401.0,123464.0,750731.5,56086.0,30051.0,24722.5,451383.0,1849.0,1104.0,,,190510.0,315694.0,66452.0,54529.0,11496.0,10964.0,190338.0,,421746.0
2019-04-04,26204.5,83585.0,55516.0,,10988.5,136642.0,28488.0,13547.0,31098.0,135833.0,785922.75,71425.0,29867.5,40665.5,429258.0,2240.0,1097.0,,,199946.25,308446.0,71452.0,54745.0,10806.0,11191.0,232992.0,,381682.0
2019-04-05,25055.75,79673.0,55590.0,,10782.5,126635.0,26121.0,12470.0,35857.0,138229.0,768737.0,71668.0,31403.349056603773,46073.0,405666.0,2410.0,1069.0,,,196781.25,339228.0,63073.0,52105.08695652174,10783.0,11161.0,214015.0,,309293.0
2019-04-06,18123.25,50040.0,53521.0,,10612.59574468085,104901.0,16873.0,13901.0,32090.0,66532.0,580396.5,61717.0,19581.25,38158.0,325865.0,2317.0,1075.0,,,156013.0,296120.0,20886.0,55351.0,10889.0,10915.0,139062.0,,363347.5
2019-04-07,7278.25,39186.0,50988.0,,9421.0,101333.0,15308.0,15239.0,32999.0,25614.0,527750.0,65294.0,16003.5,40398.5,287059.0,2409.0,1071.0,,,119011.25,282198.0,26285.0,51634.0,10768.0,9658.0,144650.0,,336460.0
2019-04-08,22497.25,58862.0,54820.0,,10235.0,137368.0,16487.0,15859.0,40194.0,103865.0,724915.75,78051.0,20482.25,31759.0,390927.0,3175.0,1090.0,,,161232.0,361469.0,69015.0,53513.260869565216,11238.0,11267.0,219609.0,,396333.0
2019-04-09,36531.25,49699.0,53956.0,,9889.0,132953.0,21659.0,16289.0,40848.0,94941.0,713161.5,70443.0,24394.5,40089.5,412587.0,3014.0,1122.0,,,155019.75,363445.0,50862.0,54418.0,10682.0,10866.0,186727.0,,380388.0
2019-04-10,24317.5,49712.0,55065.0,,9771.0,133841.0,25952.0,18286.0,43925.0,89829.0,709263.0,75140.0,32799.25,42838.0,388386.0,3453.0,1128.0,,,156196.0,374184.0,64957.0,57262.0,11081.0,10587.0,214437.0,,418117.0
2019-04-11,25666.5,59901.0,55797.0,,10587.5,123469.0,32017.0,18119.0,50410.0,83802.0,738419.25,66090.0,38085.25,41708.0,446947.0,3462.0,1133.0,,,153014.75,385668.0,75476.0,58260.0,11736.0,10905.0,237076.0,,467280.0
2019-04-12,26890.75,79656.0,50629.0,,10101.0,128260.0,33955.0,17337.0,48766.0,136697.0,744212.25,73167.0,40827.0,33594.5,427602.0,9913.0,1132.0,,,169045.5,380012.0,89216.0,55554.0,12290.0,11150.0,235589.0,,440201.0
2019-04-13,26985.75,56072.0,52590.0,,8713.531914893618,109906.0,27191.0,16663.0,39577.0,67822.0,621281.75,75963.0,29313.68181818182,19457.5,328370.0,7577.0,1104.0,,,147765.0,334065.0,85073.0,49589.0,12168.0,10116.0,216964.0,,274769.0
